date,title,category,price,rating
31-03-2026,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Nonfiction,31.12,3
31-03-2026,This One Summer,Sequential Art,19.49,4
31-03-2026,Thirst,Fiction,17.27,5
31-03-2026,The Torch Is Passed: A Harding Family Story,Add a comment,19.09,1
31-03-2026,The Secret of Dreadwillow Carse,Childrens,56.13,1
31-03-2026,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Food and Drink,56.41,1
31-03-2026,The Past Never Ends,Mystery,56.5,4
31-03-2026,The Natural History of Us (The Fine Art of Pretending #2),Young Adult,45.22,3
31-03-2026,The Nameless City (The Nameless City #1),Sequential Art,38.16,4
31-03-2026,The Murder That Never Was (Forensic Instincts #5),Fiction,54.11,3
31-03-2026,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Science,42.96,4
31-03-2026,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Add a comment,23.89,4
31-03-2026,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Nonfiction,16.77,3
31-03-2026,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Default,20.59,5
31-03-2026,The Gutsy Girl: Escapades for Your Life of Epic Adventure,Nonfiction,37.13,1
31-03-2026,The Electric Pencil: Drawings from Inside State Hospital No. 3,Nonfiction,56.06,1
31-03-2026,The Death of Humanity: and the Case for Life,Philosophy,58.11,4
31-03-2026,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Health,49.05,3
31-03-2026,The Art Forger,Add a comment,40.76,3
31-03-2026,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,History,19.73,1
31-03-2026,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Spirituality,32.24,5
31-03-2026,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Nonfiction,41.83,4
31-03-2026,Soul Reader,Default,39.58,2
31-03-2026,Security,Horror,39.25,2
31-03-2026,"Saga, Volume 6 (Saga (Collected Editions) #6)",Fantasy,25.02,3
31-03-2026,"Saga, Volume 5 (Saga (Collected Editions) #5)",Sequential Art,51.04,2
31-03-2026,Reskilling America: Learning to Labor in the Twenty-First Century,Nonfiction,19.83,2
31-03-2026,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Sequential Art,50.4,3
31-03-2026,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Sequential Art,13.61,5
31-03-2026,Princess Between Worlds (Wide-Awake Princess #5),Fantasy,13.34,5
31-03-2026,"Pop Gun War, Volume 1: Gift",Sequential Art,18.97,1
31-03-2026,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",History,36.28,2
31-03-2026,Patience,Sequential Art,10.16,3
31-03-2026,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Sequential Art,15.44,4
31-03-2026,orange: The Complete Collection 1 (orange: The Complete Collection #1),Sequential Art,48.41,1
31-03-2026,Online Marketing for Busy Authors: A Step-By-Step Guide,Self Help,46.35,1
31-03-2026,On a Midnight Clear,Add a comment,14.07,3
31-03-2026,Obsidian (Lux #1),Young Adult,14.86,2
31-03-2026,My Paris Kitchen: Recipes and Stories,Food and Drink,33.37,2
31-03-2026,Masks and Shadows,Fantasy,56.4,2
31-03-2026,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Food and Drink,14.02,4
31-03-2026,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Sequential Art,46.91,2
31-03-2026,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Sequential Art,45.61,3
31-03-2026,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Sequential Art,19.92,2
31-03-2026,"Layered: Baking, Building, and Styling Spectacular Cakes",Food and Drink,40.11,1
31-03-2026,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Add a comment,53.9,2
31-03-2026,Join,Science Fiction,35.67,5
31-03-2026,In the Country We Love: My Family Divided,Nonfiction,22.0,4
31-03-2026,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,Science,57.36,5
31-03-2026,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Sequential Art,29.17,2
31-03-2026,I am a Hero Omnibus Volume 1,Sequential Art,54.63,3
31-03-2026,How to Be Miserable: 40 Strategies You Already Use,Self Help,46.03,1
31-03-2026,Her Backup Boyfriend (The Sorensen Family #1),Romance,33.97,1
31-03-2026,"Giant Days, Vol. 2 (Giant Days #5-8)",Sequential Art,22.11,2
31-03-2026,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Historical Fiction,29.69,3
31-03-2026,First and First (Five Boroughs #3),Romance,15.97,4
31-03-2026,Fifty Shades Darker (Fifty Shades #2),Romance,21.96,1
31-03-2026,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Nonfiction,54.35,2
31-03-2026,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Religion,37.97,2
31-03-2026,Danganronpa Volume 1,Sequential Art,51.99,4
31-03-2026,Crown of Midnight (Throne of Glass #2),Fantasy,43.29,3
31-03-2026,"Codename Baboushka, Volume 1: The Conclave of Death",Sequential Art,36.72,4
31-03-2026,Camp Midnight,Sequential Art,17.08,4
31-03-2026,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Nonfiction,29.14,5
31-03-2026,Burning,Young Adult,28.81,3
31-03-2026,Bossypants,Default,49.46,2
31-03-2026,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Sequential Art,37.92,2
31-03-2026,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",Fantasy,28.09,2
31-03-2026,Algorithms to Live By: The Computer Science of Human Decisions,Nonfiction,30.81,1
31-03-2026,A World of Flavor: Your Gluten Free Passport,Default,42.95,1
31-03-2026,"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",Default,56.76,5
31-03-2026,A Murder in Time,Mystery,16.64,1
31-03-2026,A Flight of Arrows (The Pathfinders #2),Historical Fiction,55.53,5
31-03-2026,A Fierce and Subtle Poison,Young Adult,28.13,4
31-03-2026,A Court of Thorns and Roses (A Court of Thorns and Roses #1),Fantasy,52.37,1
31-03-2026,(Un)Qualified: How God Uses Broken People to Do Big Things,Christian,54.0,5
31-03-2026,You Are What You Love: The Spiritual Power of Habit,Religion,21.87,4
31-03-2026,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",Science Fiction,43.3,4
31-03-2026,Tuesday Nights in 1980,Fiction,21.04,2
31-03-2026,Tracing Numbers on a Train,Default,41.6,3
31-03-2026,Throne of Glass (Throne of Glass #1),Fantasy,35.07,3
31-03-2026,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,History,59.64,1
31-03-2026,Thirteen Reasons Why,Default,52.72,1
31-03-2026,The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,Childrens,58.08,4
31-03-2026,The Wedding Dress,Romance,24.12,1
31-03-2026,The Vacationers,Fiction,42.15,4
31-03-2026,The Third Wave: An Entrepreneurâs Vision of the Future,Business,12.61,5
31-03-2026,The Stranger,Philosophy,17.44,4
31-03-2026,The Shadow Hero (The Shadow Hero),Sequential Art,33.14,1
31-03-2026,The Secret (The Secret #1),Default,27.37,4
31-03-2026,The Regional Office Is Under Attack!,Fiction,51.36,5
31-03-2026,The Psychopath Test: A Journey Through the Madness Industry,Default,36.0,2
31-03-2026,The Project,Science Fiction,10.65,1
31-03-2026,The Power of Now: A Guide to Spiritual Enlightenment,Nonfiction,43.54,2
31-03-2026,The Omnivore's Dilemma: A Natural History of Four Meals,Nonfiction,38.21,2
31-03-2026,The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,Food and Drink,37.34,5
31-03-2026,The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,44.1,4
31-03-2026,The Mistake (Off-Campus #2),New Adult,43.29,3
31-03-2026,The Matchmaker's Playbook (Wingmen Inc. #1),New Adult,55.85,1
31-03-2026,The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,Food and Drink,37.6,2
31-03-2026,The Long Shadow of Small Ghosts: Murder and Memory in an American City,Crime,10.97,1
31-03-2026,The Kite Runner,Default,41.82,4
31-03-2026,The House by the Lake,Historical Fiction,36.95,1
31-03-2026,The Glittering Court (The Glittering Court #1),Fantasy,44.28,1
31-03-2026,The Girl on the Train,Default,55.02,2
31-03-2026,The Genius of Birds,Nonfiction,17.24,1
31-03-2026,The Emerald Mystery,Default,23.15,2
31-03-2026,The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,Food and Drink,41.25,1
31-03-2026,The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,Default,32.0,3
31-03-2026,The Artist's Way: A Spiritual Path to Higher Creativity,Nonfiction,38.49,5
31-03-2026,The Art of War,Default,33.34,5
31-03-2026,The Argonauts,Autobiography,10.93,2
31-03-2026,The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,Business,27.55,3
31-03-2026,Suddenly in Love (Lake Haven #1),Romance,55.99,2
31-03-2026,Something More Than This,Romance,16.24,4
31-03-2026,Soft Apocalypse,Science Fiction,26.12,2
31-03-2026,So You've Been Publicly Shamed,Nonfiction,12.23,2
31-03-2026,Shoe Dog: A Memoir by the Creator of NIKE,Business,23.99,2
31-03-2026,"Shobu Samurai, Project Aryoku (#3)",Add a comment,29.06,3
31-03-2026,Secrets and Lace (Fatal Hearts #1),Default,20.27,1
31-03-2026,Scarlett Epstein Hates It Here,Young Adult,43.55,5
31-03-2026,Romero and Juliet: A Tragic Tale of Love and Zombies,Default,36.94,1
31-03-2026,Redeeming Love,Christian Fiction,20.47,5
31-03-2026,Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,Default,41.06,1
31-03-2026,Poems That Make Grown Women Cry,Poetry,14.19,4
31-03-2026,"Nightingale, Sing",Young Adult,38.28,1
31-03-2026,Night Sky with Exit Wounds,Poetry,41.05,1
31-03-2026,Mrs. Houdini,Historical Fiction,30.25,5
31-03-2026,Modern Romance,Add a comment,28.26,5
31-03-2026,Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),Default,10.76,1
31-03-2026,Louisa: The Extraordinary Life of Mrs. Adams,Biography,16.85,2
31-03-2026,Little Red,Childrens,13.47,3
31-03-2026,Library of Souls (Miss Peregrineâs Peculiar Children #3),Young Adult,48.56,5
31-03-2026,Large Print Heart of the Pride,Default,19.15,2
31-03-2026,I Had a Nice Time And Other Lies...: How to find love & sh*t like that,Womens Fiction,57.36,4
31-03-2026,Hollow City (Miss Peregrineâs Peculiar Children #2),Fantasy,42.98,1
31-03-2026,Grumbles,Default,22.16,2
31-03-2026,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,Travel,49.43,4
31-03-2026,Frostbite (Vampire Academy #2),Young Adult,29.99,5
31-03-2026,Follow You Home,Horror,21.36,1
31-03-2026,First Steps for New Christians (Print Edition),Default,29.0,1
31-03-2026,Finders Keepers (Bill Hodges Trilogy #2),Fiction,53.53,5
31-03-2026,"Fables, Vol. 1: Legends in Exile (Fables #1)",Sequential Art,41.62,4
31-03-2026,Eureka Trivia 6.0,Default,54.59,4
31-03-2026,Drive: The Surprising Truth About What Motivates Us,Default,34.95,4
31-03-2026,Done Rubbed Out (Reightman & Bailey #1),Default,37.72,5
31-03-2026,Doing It Over (Most Likely To #1),Romance,35.61,3
31-03-2026,"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",Food and Drink,42.16,3
31-03-2026,Dark Notes,Erotica,19.19,5
31-03-2026,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Nonfiction,19.43,3
31-03-2026,Close to You,Christian Fiction,49.46,4
31-03-2026,Chasing Heaven: What Dying Taught Me About Living,Spirituality,37.8,2
31-03-2026,Big Magic: Creative Living Beyond Fear,Nonfiction,30.8,3
31-03-2026,Becoming Wise: An Inquiry into the Mystery and Art of Living,Nonfiction,27.43,2
31-03-2026,Beauty Restored (Riley Family Legacy Novellas #3),Default,11.11,2
31-03-2026,Batman: The Long Halloween (Batman),Sequential Art,36.5,2
31-03-2026,Batman: The Dark Knight Returns (Batman),Sequential Art,15.38,5
31-03-2026,Ayumi's Violin,Default,15.48,2
31-03-2026,Anonymous,Default,46.82,4
31-03-2026,Amy Meets the Saints and Sages,Default,18.46,3
31-03-2026,Amid the Chaos,Cultural,36.58,1
31-03-2026,Amatus,Default,50.54,5
31-03-2026,Agnostic: A Spirited Manifesto,Nonfiction,12.51,5
31-03-2026,Zealot: The Life and Times of Jesus of Nazareth,History,24.7,3
31-03-2026,You (You #1),Thriller,43.61,5
31-03-2026,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",Sequential Art,37.34,4
31-03-2026,Wild Swans,Young Adult,14.36,2
31-03-2026,Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,Politics,52.65,4
31-03-2026,Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,Nonfiction,38.2,4
31-03-2026,What's It Like in Space?: Stories from Astronauts Who've Been There,Nonfiction,19.6,2
31-03-2026,"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",Sequential Art,53.9,1
31-03-2026,Walt Disney's Alice in Wonderland,Childrens,12.96,5
31-03-2026,V for Vendetta (V for Vendetta Complete),Default,37.1,4
31-03-2026,Until Friday Night (The Field Party #1),Young Adult,46.31,2
31-03-2026,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Default,45.95,2
31-03-2026,Twenty Yawns,Childrens,22.08,2
31-03-2026,Through the Woods,Sequential Art,25.38,2
31-03-2026,This Is Where It Ends,Young Adult,27.12,2
31-03-2026,The Year of Magical Thinking,Nonfiction,43.04,2
31-03-2026,The Wright Brothers,Default,56.8,4
31-03-2026,The White Queen (The Cousins' War #1),Add a comment,25.91,5
31-03-2026,The Wedding Pact (The O'Malleys #2),Romance,32.61,3
31-03-2026,The Time Keeper,Fiction,27.88,5
31-03-2026,The Testament of Mary,Fiction,52.67,4
31-03-2026,The Star-Touched Queen,Fantasy,46.02,5
31-03-2026,The Songs of the Gods,Default,44.48,5
31-03-2026,The Song of Achilles,Add a comment,37.4,5
31-03-2026,The Rosie Project (Don Tillman #1),Default,54.04,1
31-03-2026,The Power of Habit: Why We Do What We Do in Life and Business,Default,16.88,3
31-03-2026,The Marriage of Opposites,Historical Fiction,28.08,4
31-03-2026,The Lucifer Effect: Understanding How Good People Turn Evil,Psychology,10.4,1
31-03-2026,The Long Haul (Diary of a Wimpy Kid #9),Humor,44.07,1
31-03-2026,The Loney,Horror,23.4,1
31-03-2026,The Literature Book (Big Ideas Simply Explained),Nonfiction,17.43,3
31-03-2026,The Last Mile (Amos Decker #2),Mystery,54.21,2
31-03-2026,The Immortal Life of Henrietta Lacks,Add a comment,40.67,2
31-03-2026,The Hidden Oracle (The Trials of Apollo #1),Fantasy,52.26,2
31-03-2026,The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,Food and Drink,28.77,3
31-03-2026,The Guilty (Will Robie #4),Thriller,13.82,2
31-03-2026,The First Hostage (J.B. Collins #2),Fiction,25.85,3
31-03-2026,The Dovekeepers,Add a comment,48.78,1
31-03-2026,The Darkest Lie,Young Adult,35.35,5
31-03-2026,The Bane Chronicles (The Bane Chronicles #1-11),Fantasy,44.73,4
31-03-2026,The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,Nonfiction,15.77,1
31-03-2026,The 14th Colony (Cotton Malone #11),Thriller,39.24,1
31-03-2026,That Darkness (Gardiner and Renner #1),Mystery,13.92,1
31-03-2026,Tastes Like Fear (DI Marnie Rome #3),Mystery,10.69,1
31-03-2026,Take Me with You,Fiction,45.21,3
31-03-2026,Swell: A Year of Waves,Nonfiction,45.58,1
31-03-2026,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),Sequential Art,11.89,5
31-03-2026,Still Life with Bread Crumbs,Fiction,26.41,3
31-03-2026,Steve Jobs,Default,39.5,5
31-03-2026,Sorting the Beef from the Bull: The Science of Food Fraud Forensics,Science,44.74,4
31-03-2026,Someone Like You (The Harrisons #2),Contemporary,52.79,5
31-03-2026,"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",Sequential Art,35.43,4
31-03-2026,Shtum,Fiction,55.84,4
31-03-2026,See America: A Celebration of Our National Parks & Treasured Sites,Travel,48.87,3
31-03-2026,salt.,Poetry,46.78,4
31-03-2026,Robin War,Sequential Art,47.82,3
31-03-2026,"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",Sequential Art,25.48,2
31-03-2026,Rain Fish,Childrens,23.57,3
31-03-2026,"Quarter Life Poetry: Poems for the Young, Broke and Hangry",Poetry,50.89,5
31-03-2026,Pet Sematary,Horror,10.56,3
31-03-2026,"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",Self Help,52.15,3
31-03-2026,Once Was a Time,Childrens,18.28,2
31-03-2026,Old School (Diary of a Wimpy Kid #10),Humor,11.83,5
31-03-2026,No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,Nonfiction,21.95,2
31-03-2026,"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",Sequential Art,38.39,2
31-03-2026,My Name Is Lucy Barton,Fiction,41.56,1
31-03-2026,My Mrs. Brown,Fiction,24.48,3
31-03-2026,My Kind of Crazy,Young Adult,40.36,1
31-03-2026,Mr. Mercedes (Bill Hodges Trilogy #1),Fiction,28.9,1
31-03-2026,More Than Music (Chasing the Dream #1),Add a comment,37.61,2
31-03-2026,Made to Stick: Why Some Ideas Survive and Others Die,Business,38.85,5
31-03-2026,Luis Paints the World,Childrens,53.95,3
31-03-2026,Luckiest Girl Alive,Default,49.83,3
31-03-2026,Lowriders to the Center of the Earth (Lowriders in Space #2),Sequential Art,51.51,2
31-03-2026,Love Is a Mix Tape (Music #1),Music,18.03,1
31-03-2026,Looking for Lovely: Collecting the Moments that Matter,Nonfiction,29.14,5
31-03-2026,"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",Default,46.91,4
31-03-2026,Let It Out: A Journey Through Journaling,Nonfiction,26.79,5
31-03-2026,Lady Midnight (The Dark Artifices #1),Default,16.28,5
31-03-2026,"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",Food and Drink,19.55,1
31-03-2026,Island of Dragons (Unwanteds #7),Fantasy,29.65,1
31-03-2026,I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,Humor,25.98,4
31-03-2026,I Am Pilgrim (Pilgrim #1),Fiction,10.6,4
31-03-2026,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Humor,14.75,5
31-03-2026,"Hush, Hush (Hush, Hush #1)",Default,47.02,3
31-03-2026,Hold Your Breath (Search and Rescue #1),Romance,28.82,1
31-03-2026,Hamilton: The Revolution,Nonfiction,58.79,3
31-03-2026,Greek Mythic History,Default,10.23,5
31-03-2026,God: The Most Unpleasant Character in All Fiction,Religion,30.03,5
31-03-2026,Glory over Everything: Beyond The Kitchen House,Historical Fiction,45.84,3
31-03-2026,Feathers: Displays of Brilliant Plumage,Art,49.05,3
31-03-2026,"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",Nonfiction,15.06,4
31-03-2026,Every Last Word,Default,46.47,3
31-03-2026,Eligible (The Austen Project #4),Fiction,27.09,3
31-03-2026,El Deafo,Sequential Art,57.62,5
31-03-2026,Eight Hundred Grapes,Fiction,14.39,4
31-03-2026,"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",Nonfiction,51.75,5
31-03-2026,"Eat Fat, Get Thin",Health,54.07,2
31-03-2026,Don't Get Caught,Young Adult,55.35,1
31-03-2026,Doctor Sleep (The Shining #2),Horror,40.12,2
31-03-2026,Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),Fantasy,37.51,5
31-03-2026,Dear Mr. Knightley,Fiction,11.21,5
31-03-2026,Daily Fantasy Sports,Default,36.58,1
31-03-2026,Crazy Love: Overwhelmed by a Relentless God,Christian,47.72,2
31-03-2026,Cometh the Hour (The Clifton Chronicles #6),Fiction,25.01,3
31-03-2026,Code Name Verity (Code Name Verity #1),Add a comment,22.13,4
31-03-2026,Clockwork Angel (The Infernal Devices #1),Default,44.14,1
31-03-2026,City of Glass (The Mortal Instruments #3),Fantasy,56.02,4
31-03-2026,City of Fallen Angels (The Mortal Instruments #4),Default,11.23,4
31-03-2026,City of Bones (The Mortal Instruments #1),Default,43.28,1
31-03-2026,City of Ashes (The Mortal Instruments #2),Default,47.27,1
31-03-2026,Cell,Add a comment,20.29,4
31-03-2026,Catching Jordan (Hundred Oaks),Young Adult,50.83,3
31-03-2026,"Carry On, Warrior: Thoughts on Life Unarmed",Default,31.85,3
31-03-2026,Carrie,Default,46.23,2
31-03-2026,Buying In: The Secret Dialogue Between What We Buy and Who We Are,Nonfiction,37.8,4
31-03-2026,Brain on Fire: My Month of Madness,Nonfiction,49.32,5
31-03-2026,Batman: Europa,Sequential Art,32.01,2
31-03-2026,Barefoot Contessa Back to Basics,Food and Drink,28.01,1
31-03-2026,Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,Food and Drink,50.62,5
31-03-2026,Balloon Animals,Fiction,17.03,3
31-03-2026,Art Ops Vol. 1,Sequential Art,48.8,3
31-03-2026,Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),Young Adult,58.14,4
31-03-2026,Angels Walking (Angels Walking #1),Add a comment,34.2,2
31-03-2026,Angels & Demons (Robert Langdon #1),Default,51.48,3
31-03-2026,All the Light We Cannot See,Historical,29.87,5
31-03-2026,"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",Sequential Art,10.9,2
31-03-2026,Abstract City,Nonfiction,56.37,5
31-03-2026,A Time of Torment (Charlie Parker #14),Mystery,48.35,5
31-03-2026,A Study in Scarlet (Sherlock Holmes #1),Mystery,16.73,2
31-03-2026,"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",Add a comment,56.48,2
31-03-2026,A People's History of the United States,Add a comment,40.79,2
31-03-2026,A Man Called Ove,Fiction,39.72,1
31-03-2026,A Distant Mirror: The Calamitous 14th Century,History,14.58,3
31-03-2026,A Brush of Wings (Angels Walking #3),Add a comment,55.51,1
31-03-2026,1491: New Revelations of the Americas Before Columbus,History,21.8,3
31-03-2026,"The Three Searches, Meaning, and the Story",Default,13.33,3
31-03-2026,Searching for Meaning in Gailana,Fantasy,38.73,1
31-03-2026,Rook,Add a comment,37.86,4
31-03-2026,My Kitchen Year: 136 Recipes That Saved My Life,Food and Drink,11.53,2
31-03-2026,13 Hours: The Inside Account of What Really Happened In Benghazi,Nonfiction,27.06,1
31-03-2026,Will You Won't You Want Me?,Womens Fiction,13.86,3
31-03-2026,Tipping Point for Planet Earth: How Close Are We to the Edge?,Science,37.55,1
